symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km
3,122,88.6,0.8111,0.8903,0.8161,2548,130,3.47,2.68,9.0,111,5000.0,21,8.7037,13495.0,11.1905
3,122,88.6,0.8111,0.8903,0.8161,2548,130,3.47,2.68,9.0,111,5000.0,21,8.7037,16500.0,11.1905
1,122,94.5,0.8227,0.9097,0.8763,2823,152,2.68,3.47,9.0,154,5000.0,19,9.0385,16500.0,12.3684
2,164,99.8,0.8486,0.9194,0.908,2337,109,3.19,3.4,10.0,102,5500.0,24,7.8333,13950.0,9.7917
2,164,99.4,0.8486,0.9222,0.908,2824,136,3.19,3.4,8.0,115,5500.0,18,10.6818,17450.0,13.0556
2,122,99.8,0.852,0.9208,0.888,2507,136,3.19,3.4,8.5,110,5500.0,19,9.4,15250.0,12.3684
1,158,105.8,0.926,0.9917,0.9314,2844,136,3.19,3.4,8.5,110,5500.0,19,9.4,17710.0,12.3684
1,122,105.8,0.926,0.9917,0.9314,2954,136,3.19,3.4,8.5,110,5500.0,19,9.4,18920.0,12.3684
1,158,105.8,0.926,0.9917,0.9348,3086,131,3.13,3.4,8.3,140,5500.0,17,11.75,23875.0,13.8235
2,192,101.2,0.8496,0.9,0.908,2395,108,3.5,2.8,8.8,101,5800.0,23,8.1034,16430.0,10.2174
0,192,101.2,0.8496,0.9,0.908,2395,108,3.5,2.8,8.8,101,5800.0,23,8.1034,16925.0,10.2174
0,188,101.2,0.8496,0.9,0.908,2710,164,3.31,3.19,9.0,121,4250.0,21,8.3929,20970.0,11.1905
0,188,101.2,0.8496,0.9,0.908,2765,164,3.31,3.19,9.0,121,4250.0,21,8.3929,21105.0,11.1905
1,122,103.5,0.9082,0.9292,0.9314,3055,164,3.31,3.19,9.0,121,4250.0,20,9.4,24565.0,11.75
0,122,103.5,0.9082,0.9292,0.9314,3230,209,3.62,3.39,8.0,182,5400.0,16,10.6818,30760.0,14.6875
0,122,103.5,0.9313,0.9431,0.898,3380,209,3.62,3.39,8.0,182,5400.0,16,10.6818,41315.0,14.6875
0,122,110.0,0.9467,0.9847,0.9415,3505,209,3.62,3.39,8.0,182,5400.0,15,11.75,36880.0,15.6667
2,121,88.4,0.678,0.8375,0.8896,1488,61,2.91,3.03,9.5,48,5100.0,47,4.434,5151.0,5.0
1,98,94.5,0.7492,0.8833,0.8696,1874,90,3.03,3.11,9.6,70,5400.0,38,5.4651,6295.0,6.1842
0,81,94.5,0.7631,0.8833,0.8696,1909,90,3.03,3.11,9.6,70,5400.0,38,5.4651,6575.0,6.1842
1,118,93.7,0.7559,0.8861,0.8495,1876,90,2.97,3.23,9.41,68,5500.0,37,5.7317,5572.0,6.3514
1,118,93.7,0.7559,0.8861,0.8495,1876,90,2.97,3.23,9.4,68,5500.0,31,6.1842,6377.0,7.5806
1,118,93.7,0.7559,0.8861,0.8495,2128,98,3.03,3.39,7.6,102,5500.0,24,7.8333,7957.0,9.7917
1,148,93.7,0.7559,0.8861,0.8462,1967,90,2.97,3.23,9.4,68,5500.0,31,6.1842,6229.0,7.5806
1,148,93.7,0.7559,0.8861,0.8462,1989,90,2.97,3.23,9.4,68,5500.0,31,6.1842,6692.0,7.5806
1,148,93.7,0.7559,0.8861,0.8462,1989,90,2.97,3.23,9.4,68,5500.0,31,6.1842,7609.0,7.5806
1,148,93.7,0.7559,0.8861,0.8462,2191,98,3.03,3.39,7.6,102,5500.0,24,7.8333,8558.0,9.7917
-1,110,103.3,0.839,0.8972,1.0,2535,122,3.34,3.46,8.5,88,5000.0,24,7.8333,8921.0,9.7917
3,145,95.9,0.8323,0.9208,0.8395,2811,156,3.6,3.9,7.0,145,5000.0,19,9.7917,12964.0,12.3684
2,137,86.6,0.6949,0.8875,0.8495,1713,92,2.91,3.41,9.6,58,4800.0,49,4.3519,6479.0,4.7959
2,137,86.6,0.6949,0.8875,0.8495,1819,92,2.91,3.41,9.2,76,6000.0,31,6.1842,6855.0,7.5806
1,101,93.7,0.7208,0.8889,0.8796,1837,79,2.91,3.07,10.1,60,5500.0,38,5.5952,5399.0,6.1842
1,101,93.7,0.7208,0.8889,0.8796,1940,92,2.91,3.41,9.2,76,6000.0,30,6.9118,6529.0,7.8333
1,101,93.7,0.7208,0.8889,0.8796,1956,92,2.91,3.41,9.2,76,6000.0,30,6.9118,7129.0,7.8333
0,110,96.5,0.7852,0.8889,0.9114,2010,92,2.91,3.41,9.2,76,6000.0,30,6.9118,7295.0,7.8333
0,78,96.5,0.7549,0.8875,0.9749,2024,92,2.92,3.41,9.2,76,6000.0,30,6.9118,7295.0,7.8333
0,106,96.5,0.8049,0.9056,0.8913,2236,110,3.15,3.58,9.0,86,5800.0,27,7.1212,7895.0,8.7037
0,106,96.5,0.8049,0.9056,0.8913,2289,110,3.15,3.58,9.0,86,5800.0,27,7.1212,9095.0,8.7037
0,85,96.5,0.8429,0.9056,0.9047,2304,110,3.15,3.58,9.0,86,5800.0,27,7.1212,8845.0,8.7037
0,85,96.5,0.8429,0.8681,0.9047,2372,110,3.15,3.58,9.0,86,5800.0,27,7.1212,10295.0,8.7037
0,85,96.5,0.8429,0.9056,0.9047,2465,110,3.15,3.58,9.0,101,5800.0,24,8.3929,12945.0,9.7917
1,107,96.5,0.8126,0.9167,0.8528,2293,110,3.15,3.58,9.1,100,5500.0,25,7.5806,10345.0,9.4
0,122,94.3,0.8203,0.8583,0.8946,2337,111,3.31,3.23,8.5,78,4800.0,24,8.1034,6785.0,9.7917
2,122,96.0,0.8294,0.9056,0.8595,2734,119,3.43,3.23,9.2,90,5000.0,24,8.1034,11048.0,9.7917
0,145,113.0,0.9592,0.9667,0.8829,4066,258,3.63,4.17,8.1,176,4750.0,15,12.3684,32250.0,15.6667
0,122,113.0,0.9592,0.9667,0.8829,4066,258,3.63,4.17,8.1,176,4750.0,15,12.3684,35550.0,15.6667
0,122,102.0,0.9212,0.9806,0.7993,3950,326,3.54,2.76,11.5,262,5000.0,13,13.8235,36000.0,18.0769
1,104,93.1,0.7645,0.8917,0.9047,1890,91,3.03,3.15,9.0,68,5000.0,30,7.5806,5195.0,7.8333
1,104,93.1,0.7645,0.8917,0.9047,1900,91,3.03,3.15,9.0,68,5000.0,31,6.1842,6095.0,7.5806
1,104,93.1,0.7645,0.8917,0.9047,1905,91,3.03,3.15,9.0,68,5000.0,31,6.1842,6795.0,7.5806
1,113,93.1,0.8015,0.8917,0.9047,1945,91,3.03,3.15,9.0,68,5000.0,31,6.1842,6695.0,7.5806
1,113,93.1,0.8015,0.8917,0.9047,1950,91,3.08,3.15,9.0,68,5000.0,31,6.1842,7395.0,7.5806
3,150,95.3,0.8121,0.9125,0.8294,2380,70,3.3298,3.2554,9.4,101,6000.0,17,10.2174,10945.0,13.8235
3,150,95.3,0.8121,0.9125,0.8294,2380,70,3.3298,3.2554,9.4,101,6000.0,17,10.2174,11845.0,13.8235
3,150,95.3,0.8121,0.9125,0.8294,2385,70,3.3298,3.2554,9.4,101,6000.0,17,10.2174,13645.0,13.8235
3,150,95.3,0.8121,0.9125,0.8294,2500,80,3.3298,3.2554,9.4,135,6000.0,16,10.2174,15645.0,14.6875
1,129,98.8,0.8544,0.9236,0.898,2385,122,3.39,3.39,8.6,84,4800.0,26,7.3438,8845.0,9.0385
0,115,98.8,0.8544,0.9236,0.9281,2410,122,3.39,3.39,8.6,84,4800.0,26,7.3438,8495.0,9.0385
1,129,98.8,0.8544,0.9236,0.898,2385,122,3.39,3.39,8.6,84,4800.0,26,7.3438,10595.0,9.0385
0,115,98.8,0.8544,0.9236,0.9281,2410,122,3.39,3.39,8.6,84,4800.0,26,7.3438,10245.0,9.0385
0,122,98.8,0.8544,0.9236,0.9281,2443,122,3.39,3.39,22.7,64,4650.0,36,5.5952,10795.0,6.5278
0,115,98.8,0.8544,0.9236,0.9281,2425,122,3.39,3.39,8.6,84,4800.0,26,7.3438,11245.0,9.0385
0,118,104.9,0.8409,0.9181,0.9097,2670,140,3.76,3.16,8.0,120,5000.0,19,8.7037,18280.0,12.3684
0,122,104.9,0.8409,0.9181,0.9097,2700,134,3.43,3.64,22.0,72,4200.0,31,6.0256,18344.0,7.5806
-1,93,110.0,0.9173,0.9764,0.9448,3515,183,3.58,3.64,21.5,123,4350.0,22,9.4,25552.0,10.6818
-1,93,110.0,0.9173,0.9764,0.9816,3750,183,3.58,3.64,21.5,123,4350.0,22,9.4,28248.0,10.6818
0,93,106.7,0.901,0.9764,0.9181,3495,183,3.58,3.64,21.5,123,4350.0,22,9.4,28176.0,10.6818
-1,93,115.6,0.9736,0.9958,0.9415,3770,183,3.58,3.64,21.5,123,4350.0,22,9.4,31600.0,10.6818
-1,122,115.6,0.9736,0.9958,0.9448,3740,234,3.46,3.1,8.3,155,4750.0,16,13.0556,34184.0,14.6875
3,142,96.6,0.8664,0.9792,0.8495,3685,234,3.46,3.1,8.3,155,4750.0,16,13.0556,35056.0,14.6875
0,122,120.9,1.0,0.9958,0.9482,3900,308,3.8,3.35,8.0,184,4500.0,14,14.6875,40960.0,16.7857
1,122,112.0,0.9572,1.0,0.9264,3715,304,3.8,3.35,8.0,184,4500.0,14,14.6875,45400.0,16.7857
1,122,102.7,0.8573,0.9444,0.9164,2910,140,3.78,3.12,8.0,175,5000.0,19,9.7917,16503.0,12.3684
2,161,93.7,0.7559,0.8944,0.8495,1918,92,2.97,3.23,9.4,68,5500.0,37,5.7317,5389.0,6.3514
2,161,93.7,0.7559,0.8944,0.8495,1944,92,2.97,3.23,9.4,68,5500.0,31,6.1842,6189.0,7.5806
2,161,93.7,0.7559,0.8944,0.8495,2004,92,2.97,3.23,9.4,68,5500.0,31,6.1842,6669.0,7.5806
1,161,93.0,0.7559,0.8861,0.8495,2145,98,3.03,3.39,7.6,102,5500.0,24,7.8333,7689.0,9.7917
3,153,96.3,0.8313,0.9083,0.8261,2370,110,3.17,3.46,7.5,116,5500.0,23,7.8333,9959.0,10.2174
3,153,96.3,0.8313,0.9083,0.8261,2328,122,3.35,3.46,8.5,88,5000.0,25,7.3438,8499.0,9.4
3,122,95.9,0.8323,0.9208,0.8395,2833,156,3.58,3.86,7.0,145,5000.0,19,9.7917,12629.0,12.3684
3,122,95.9,0.8323,0.9208,0.8395,2921,156,3.59,3.86,7.0,145,5000.0,19,9.7917,14869.0,12.3684
3,122,95.9,0.8323,0.9208,0.8395,2926,156,3.59,3.86,7.0,145,5000.0,19,9.7917,14489.0,12.3684
1,125,96.3,0.8284,0.9083,0.8629,2365,122,3.35,3.46,8.5,88,5000.0,25,7.3438,6989.0,9.4
1,125,96.3,0.8284,0.9083,0.8629,2405,122,3.35,3.46,8.5,88,5000.0,25,7.3438,8189.0,9.4
1,125,96.3,0.8284,0.9083,0.8629,2403,110,3.17,3.46,7.5,116,5500.0,23,7.8333,9279.0,10.2174
-1,137,96.3,0.8284,0.9083,0.8629,2403,110,3.17,3.46,7.5,116,5500.0,23,7.8333,9279.0,10.2174
1,128,94.5,0.7943,0.8861,0.9114,1889,97,3.15,3.29,9.4,69,5200.0,31,6.3514,5499.0,7.5806
1,128,94.5,0.7943,0.8861,0.9114,2017,103,2.99,3.47,21.9,55,4800.0,45,4.7,7099.0,5.2222
1,128,94.5,0.7943,0.8861,0.9114,1918,97,3.15,3.29,9.4,69,5200.0,31,6.3514,6649.0,7.5806
1,122,94.5,0.7943,0.8861,0.9114,1938,97,3.15,3.29,9.4,69,5200.0,31,6.3514,6849.0,7.5806
1,103,94.5,0.8179,0.8861,0.8946,2024,97,3.15,3.29,9.4,69,5200.0,31,6.3514,7349.0,7.5806
1,128,94.5,0.7943,0.8861,0.9114,1951,97,3.15,3.29,9.4,69,5200.0,31,6.3514,7299.0,7.5806
1,128,94.5,0.7958,0.8861,0.8913,2028,97,3.15,3.29,9.4,69,5200.0,31,6.3514,7799.0,7.5806
1,122,94.5,0.7943,0.8861,0.9114,1971,97,3.15,3.29,9.4,69,5200.0,31,6.3514,7499.0,7.5806
1,103,94.5,0.8179,0.8861,0.8946,2037,97,3.15,3.29,9.4,69,5200.0,31,6.3514,7999.0,7.5806
2,168,95.1,0.7804,0.8861,0.8913,2008,97,3.15,3.29,9.4,69,5200.0,31,6.3514,8249.0,7.5806
0,106,97.2,0.8333,0.9056,0.9147,2324,120,3.33,3.47,8.5,97,5200.0,27,6.9118,8949.0,8.7037
0,106,97.2,0.8333,0.9056,0.9147,2302,120,3.33,3.47,8.5,97,5200.0,27,6.9118,9549.0,8.7037
0,128,100.4,0.8731,0.9236,0.9214,3095,181,3.43,3.27,9.0,152,5200.0,17,10.6818,13499.0,13.8235
0,108,100.4,0.8871,0.9236,0.9381,3296,181,3.43,3.27,9.0,152,5200.0,17,10.6818,14399.0,13.8235
0,108,100.4,0.8871,0.9236,0.9214,3060,181,3.43,3.27,9.0,152,5200.0,19,9.4,13499.0,12.3684
3,194,91.3,0.8203,0.9431,0.8311,3071,181,3.43,3.27,9.0,160,5200.0,19,9.4,17199.0,12.3684
3,194,91.3,0.8203,0.9431,0.8311,3139,181,3.43,3.27,7.8,200,5200.0,17,10.2174,19699.0,13.8235
1,231,99.2,0.8578,0.9431,0.8311,3139,181,3.43,3.27,9.0,160,5200.0,19,9.4,18399.0,12.3684
0,161,107.9,0.8972,0.95,0.9482,3020,120,3.46,3.19,8.4,97,5000.0,19,9.7917,11900.0,12.3684
0,161,107.9,0.8972,0.95,0.9482,3197,152,3.7,3.52,21.0,95,4150.0,28,7.1212,13200.0,8.3929
0,122,114.2,0.9558,0.95,0.9816,3230,120,3.46,3.19,8.4,97,5000.0,19,9.7917,12440.0,12.3684
0,122,114.2,0.9558,0.95,0.9816,3430,152,3.7,3.52,21.0,95,4150.0,25,9.4,13860.0,9.4
0,161,107.9,0.8972,0.95,0.9482,3075,120,3.46,2.19,8.4,95,5000.0,19,9.7917,15580.0,12.3684
0,161,107.9,0.8972,0.95,0.9482,3252,152,3.7,3.52,21.0,95,4150.0,28,7.1212,16900.0,8.3929
0,122,114.2,0.9558,0.95,0.9482,3285,120,3.46,2.19,8.4,95,5000.0,19,9.7917,16695.0,12.3684
0,122,114.2,0.9558,0.95,0.9816,3485,152,3.7,3.52,21.0,95,4150.0,25,9.4,17075.0,9.4
0,161,107.9,0.8972,0.95,0.9482,3075,120,3.46,3.19,8.4,97,5000.0,19,9.7917,16630.0,12.3684
0,161,107.9,0.8972,0.95,0.9482,3252,152,3.7,3.52,21.0,95,4150.0,28,7.1212,17950.0,8.3929
0,161,108.0,0.8972,0.9486,0.9365,3130,134,3.61,3.21,7.0,142,5600.0,18,9.7917,18150.0,13.0556
1,119,93.7,0.7559,0.8861,0.8495,1918,90,2.97,3.23,9.4,68,5500.0,37,5.7317,5572.0,6.3514
1,119,93.7,0.7559,0.8861,0.8495,2128,98,3.03,3.39,7.6,102,5500.0,24,7.8333,7957.0,9.7917
1,154,93.7,0.7559,0.8861,0.8462,1967,90,2.97,3.23,9.4,68,5500.0,31,6.1842,6229.0,7.5806
1,154,93.7,0.8039,0.8861,0.8495,1989,90,2.97,3.23,9.4,68,5500.0,31,6.1842,6692.0,7.5806
1,154,93.7,0.8039,0.8861,0.8495,2191,98,2.97,3.23,9.4,68,5500.0,31,6.1842,7609.0,7.5806
-1,74,103.3,0.839,0.8972,1.0,2535,122,3.35,3.46,8.5,88,5000.0,24,7.8333,8921.0,9.7917
3,122,95.9,0.8323,0.9208,0.8395,2818,156,3.59,3.86,7.0,145,5000.0,19,9.7917,12764.0,12.3684
3,186,94.5,0.8116,0.9486,0.8395,2778,151,3.94,3.11,9.5,143,5500.0,19,8.7037,22018.0,12.3684
3,122,89.5,0.8116,0.9028,0.8629,2756,194,3.74,2.9,9.5,207,5900.0,17,9.4,32528.0,13.8235
3,122,89.5,0.8116,0.9028,0.8629,2756,194,3.74,2.9,9.5,207,5900.0,17,9.4,34028.0,13.8235
3,122,89.5,0.8116,0.9028,0.8629,2800,194,3.74,2.9,9.5,207,5900.0,17,9.4,37028.0,13.8235
0,122,96.1,0.8722,0.9236,0.9231,2579,132,3.46,3.9,8.7,104,5125.3695,23,7.5806,9295.0,10.2174
2,122,96.1,0.8496,0.925,0.8445,2460,132,3.46,3.9,8.7,104,5125.3695,23,7.5806,9895.0,10.2174
3,150,99.1,0.8967,0.9236,0.9381,2658,121,3.54,3.07,9.31,110,5250.0,21,8.3929,11850.0,11.1905
2,104,99.1,0.8967,0.9236,0.9381,2695,121,3.54,3.07,9.3,110,5250.0,21,8.3929,12170.0,11.1905
3,150,99.1,0.8967,0.9236,0.9381,2707,121,2.54,2.07,9.3,110,5250.0,21,8.3929,15040.0,11.1905
2,104,99.1,0.8967,0.9236,0.9381,2758,121,3.54,3.07,9.3,110,5250.0,21,8.3929,15510.0,11.1905
3,150,99.1,0.8967,0.9236,0.9381,2808,121,3.54,3.07,9.0,160,5500.0,19,9.0385,18150.0,12.3684
2,104,99.1,0.8967,0.9236,0.9381,2847,121,3.54,3.07,9.0,160,5500.0,19,9.0385,18620.0,12.3684
2,83,93.7,0.754,0.8806,0.898,2050,97,3.62,2.36,9.0,69,4900.0,31,6.5278,5118.0,7.5806
2,83,93.7,0.7588,0.8833,0.898,2120,108,3.62,2.64,8.7,73,4400.0,26,7.5806,7053.0,9.0385
2,83,93.3,0.7559,0.8861,0.9314,2240,108,3.62,2.64,8.7,73,4400.0,26,7.5806,7603.0,9.0385
0,102,97.2,0.8265,0.9083,0.8779,2145,108,3.62,2.64,9.5,82,4800.0,32,6.3514,7126.0,7.3438
0,102,97.2,0.8265,0.9083,0.8779,2190,108,3.62,2.64,9.5,82,4400.0,28,7.1212,7775.0,8.3929
0,102,97.2,0.8265,0.9083,0.8779,2340,108,3.62,2.64,9.0,94,5200.0,26,7.3438,9960.0,9.0385
0,102,97.0,0.8265,0.9083,0.908,2385,108,3.62,2.64,9.0,82,4800.0,24,9.4,9233.0,9.7917
0,102,97.0,0.8265,0.9083,0.908,2510,108,3.62,2.64,7.7,111,4800.0,24,8.1034,11259.0,9.7917
0,89,97.0,0.8337,0.9083,0.8863,2290,108,3.62,2.64,9.0,82,4800.0,28,7.3438,7463.0,8.3929
0,89,97.0,0.8337,0.9083,0.8863,2455,108,3.62,2.64,9.0,94,5200.0,25,7.5806,10198.0,9.4
0,85,96.9,0.8342,0.9083,0.9181,2420,108,3.62,2.64,9.0,82,4800.0,23,8.1034,8013.0,10.2174
0,85,96.9,0.8342,0.9083,0.9181,2650,108,3.62,2.64,7.7,111,4800.0,23,10.2174,11694.0,10.2174
1,87,95.7,0.7626,0.8833,0.9114,1985,92,3.05,3.03,9.0,62,4800.0,35,6.0256,5348.0,6.7143
1,87,95.7,0.7626,0.8833,0.9114,2040,92,3.05,3.03,9.0,62,4800.0,31,6.1842,6338.0,7.5806
1,74,95.7,0.7626,0.8833,0.9114,2015,92,3.05,3.03,9.0,62,4800.0,31,6.1842,6488.0,7.5806
0,77,95.7,0.8155,0.8833,0.9883,2280,92,3.05,3.03,9.0,62,4800.0,31,6.3514,6918.0,7.5806
0,81,95.7,0.8155,0.8833,0.9883,2290,92,3.05,3.03,9.0,62,4800.0,27,7.3438,7898.0,8.7037
0,91,95.7,0.8155,0.8833,0.9883,3110,92,3.05,3.03,9.0,62,4800.0,27,7.3438,8778.0,8.7037
0,91,95.7,0.7991,0.8944,0.8863,2081,98,3.19,3.03,9.0,70,4800.0,30,6.3514,6938.0,7.8333
0,91,95.7,0.7991,0.8944,0.8829,2109,98,3.19,3.03,9.0,70,4800.0,30,6.3514,7198.0,7.8333
0,91,95.7,0.7991,0.8944,0.8863,2275,110,3.27,3.35,22.5,56,4500.0,34,6.5278,7898.0,6.9118
0,91,95.7,0.7991,0.8944,0.8829,2275,110,3.27,3.35,22.5,56,4500.0,38,5.0,7788.0,6.1842
0,91,95.7,0.7991,0.8944,0.8863,2094,98,3.19,3.03,9.0,70,4800.0,38,5.0,7738.0,6.1842
0,91,95.7,0.7991,0.8944,0.8829,2122,98,3.19,3.03,9.0,70,4800.0,28,6.9118,8358.0,8.3929
0,91,95.7,0.7991,0.8944,0.8829,2140,98,3.19,3.03,9.0,70,4800.0,28,6.9118,9258.0,8.3929
1,168,94.5,0.8107,0.8889,0.8796,2169,98,3.19,3.03,9.0,70,4800.0,29,6.9118,8058.0,8.1034
1,168,94.5,0.8107,0.8889,0.8796,2204,98,3.19,3.03,9.0,70,4800.0,29,6.9118,8238.0,8.1034
1,168,94.5,0.8107,0.8889,0.8796,2265,98,3.24,3.08,9.4,112,6600.0,26,8.1034,9298.0,9.0385
1,168,94.5,0.8107,0.8889,0.8796,2300,98,3.24,3.08,9.4,112,6600.0,26,8.1034,9538.0,9.0385
2,134,98.4,0.8467,0.9111,0.8696,2540,146,3.62,3.5,9.3,116,4800.0,24,7.8333,8449.0,9.7917
2,134,98.4,0.8467,0.9111,0.8696,2536,146,3.62,3.5,9.3,116,4800.0,24,7.8333,9639.0,9.7917
2,134,98.4,0.8467,0.9111,0.8696,2551,146,3.62,3.5,9.3,116,4800.0,24,7.8333,9989.0,9.7917
2,134,98.4,0.8467,0.9111,0.8696,2679,146,3.62,3.5,9.3,116,4800.0,24,7.8333,11199.0,9.7917
2,134,98.4,0.8467,0.9111,0.8696,2714,146,3.62,3.5,9.3,116,4800.0,24,7.8333,11549.0,9.7917
2,134,98.4,0.8467,0.9111,0.8863,2975,146,3.62,3.5,9.3,116,4800.0,24,7.8333,17669.0,9.7917
-1,65,102.4,0.8438,0.9236,0.9181,2326,122,3.31,3.54,8.7,92,4200.0,29,6.9118,8948.0,8.1034
-1,65,102.4,0.8438,0.9236,0.9181,2480,110,3.27,3.35,22.5,73,4500.0,30,7.1212,10698.0,7.8333
-1,65,102.4,0.8438,0.9236,0.9013,2414,122,3.31,3.54,8.7,92,4200.0,27,7.3438,9988.0,8.7037
-1,65,102.4,0.8438,0.9236,0.9181,2414,122,3.31,3.54,8.7,92,4200.0,27,7.3438,10898.0,8.7037
-1,65,102.4,0.8438,0.9236,0.9013,2458,122,3.31,3.54,8.7,92,4200.0,27,7.3438,11248.0,8.7037
3,197,102.9,0.8818,0.9403,0.8696,2976,171,3.27,3.35,9.3,161,5200.0,20,9.7917,16558.0,11.75
3,197,102.9,0.8818,0.9403,0.8696,3016,171,3.27,3.35,9.3,161,5200.0,19,9.7917,15998.0,12.3684
-1,90,104.5,0.9025,0.9236,0.9047,3131,171,3.27,3.35,9.2,156,5200.0,20,9.7917,15690.0,11.75
-1,122,104.5,0.9025,0.9236,0.9047,3151,161,3.27,3.35,9.2,156,5200.0,19,9.7917,15750.0,12.3684
2,122,97.3,0.8251,0.9097,0.9314,2261,97,3.01,3.4,23.0,52,4800.0,37,5.1087,7775.0,6.3514
2,122,97.3,0.8251,0.9097,0.9314,2209,109,3.19,3.4,9.0,85,5250.0,27,6.9118,7975.0,8.7037
2,94,97.3,0.8251,0.9097,0.9314,2264,97,3.01,3.4,23.0,52,4800.0,37,5.1087,7995.0,6.3514
2,94,97.3,0.8251,0.9097,0.9314,2212,109,3.19,3.4,9.0,85,5250.0,27,6.9118,8195.0,8.7037
2,94,97.3,0.8251,0.9097,0.9314,2275,109,3.19,3.4,9.0,85,5250.0,27,6.9118,8495.0,8.7037
2,94,97.3,0.8251,0.9097,0.9314,2319,97,3.01,3.4,23.0,68,4500.0,37,5.5952,9495.0,6.3514
2,94,97.3,0.8251,0.9097,0.9314,2300,109,3.19,3.4,10.0,100,5500.0,26,7.3438,9995.0,9.0385
3,122,94.5,0.7655,0.8917,0.9298,2254,109,3.19,3.4,8.5,90,5500.0,24,8.1034,11595.0,9.7917
3,256,94.5,0.7963,0.8889,0.8595,2221,109,3.19,3.4,8.5,90,5500.0,24,8.1034,9980.0,9.7917
0,122,100.4,0.8659,0.9292,0.9214,2661,136,3.19,3.4,8.5,110,5500.0,19,9.7917,13295.0,12.3684
0,122,100.4,0.8659,0.9292,0.9214,2579,97,3.01,3.4,23.0,68,4500.0,33,6.1842,13845.0,7.1212
0,122,100.4,0.8799,0.9292,0.9214,2563,109,3.19,3.4,9.0,88,5500.0,25,7.5806,12290.0,9.4
-2,103,104.3,0.9073,0.9333,0.9398,2912,141,3.78,3.15,9.5,114,5400.0,23,8.3929,12940.0,10.2174
-1,74,104.3,0.9073,0.9333,0.9615,3034,141,3.78,3.15,9.5,114,5400.0,23,8.3929,13415.0,10.2174
-2,103,104.3,0.9073,0.9333,0.9398,2935,141,3.78,3.15,9.5,114,5400.0,24,8.3929,15985.0,9.7917
-1,74,104.3,0.9073,0.9333,0.9615,3042,141,3.78,3.15,9.5,114,5400.0,24,8.3929,16515.0,9.7917
-2,103,104.3,0.9073,0.9333,0.9398,3045,130,3.62,3.15,7.5,162,5100.0,17,10.6818,18420.0,13.8235
-1,74,104.3,0.9073,0.9333,0.9615,3157,130,3.62,3.15,7.5,162,5100.0,17,10.6818,18950.0,13.8235
-1,95,109.1,0.9073,0.9569,0.9281,2952,141,3.78,3.15,9.5,114,5400.0,23,8.3929,16845.0,10.2174
-1,95,109.1,0.9073,0.9556,0.9281,3049,141,3.78,3.15,8.7,160,5300.0,19,9.4,19045.0,12.3684
-1,95,109.1,0.9073,0.9569,0.9281,3012,173,3.58,2.87,8.8,134,5500.0,18,10.2174,21485.0,13.0556
-1,95,109.1,0.9073,0.9569,0.9281,3217,145,3.01,3.4,23.0,106,4800.0,26,8.7037,22470.0,9.0385
-1,95,109.1,0.9073,0.9569,0.9281,3062,141,3.78,3.15,9.5,114,5400.0,19,9.4,22625.0,12.3684
